CenterTime.ordinal,CenterTime.onset,CenterTime.offset,CenterTime.code01,Activity.ordinal,Activity.onset,Activity.offset,Activity.code01,AdultInteraction.ordinal,AdultInteraction.onset,AdultInteraction.offset,AdultInteraction.code01,CenterTime.ordinal,CenterTime.onset,CenterTime.offset,CenterTime.code01,OTHERAdultLocation.ordinal,OTHERAdultLocation.onset,OTHERAdultLocation.offset,OTHERAdultLocation.code01,PeerGrouping.ordinal,PeerGrouping.onset,PeerGrouping.offset,PeerGrouping.code01,PeerInteraction.ordinal,PeerInteraction.onset,PeerInteraction.offset,PeerInteraction.code01,TEACHERLocation.ordinal,TEACHERLocation.onset,TEACHERLocation.offset,TEACHERLocation.code01
0,0,720000,ct,0,0,204000,pl,0,0,26000,no,0,0,205000,ar,0,0,348000,no,0,0,333234,sm,0,0,105000,pa,0,0,57000,mt
,,,,1,204000,230000,tr,1,26000,36244,cv,1,205000,229000,na,1,348000,643000,ta,1,333234,348000,al,1,105000,114512,co,1,57000,172000,no
,,,,2,230000,334000,pl,2,36244,166000,no,2,229000,333000,ar,2,643000,677000,no,2,348000,352000,sm,2,114512,123000,pa,2,172000,345000,mt
,,,,3,334000,356000,tr,3,166000,178000,dp,3,333000,357000,na,3,677000,691000,ta,3,352000,546000,al,3,123000,168300,co,3,345000,720000,no
,,,,4,356000,598000,pl,4,178000,185000,no,4,357000,597000,sn,4,691000,697000,no,4,546000,595000,sm,4,168300,210000,pa,,,,
,,,,5,598000,630000,tr,5,185000,192000,cv,5,597000,630000,na,5,697000,717000,ta,5,595000,630000,wl,5,210000,241000,co,,,,
,,,,6,630000,698000,pl,6,192000,211000,no,6,630000,698000,sn,6,717000,720000,no,6,630000,636000,al,6,241000,332000,pa,,,,
,,,,7,698000,720000,tr,7,211000,241000,cv,7,698000,720000,na,,,,,7,636000,697000,sm,7,332000,348000,so,,,,
,,,,,,,,8,241000,294000,no,,,,,,,,,8,697000,720000,wl,8,348000,351000,co,,,,
,,,,,,,,9,294000,304000,cv,,,,,,,,,,,,,9,351000,546000,so,,,,
,,,,,,,,10,304000,323000,no,,,,,,,,,,,,,10,546000,628000,pa,,,,
,,,,,,,,11,323000,344000,cv,,,,,,,,,,,,,11,628000,636000,so,,,,
,,,,,,,,12,344000,348000,no,,,,,,,,,,,,,12,636000,672000,pa,,,,
,,,,,,,,13,348000,352000,cv,,,,,,,,,,,,,13,672000,676000,co,,,,
,,,,,,,,14,352000,361000,no,,,,,,,,,,,,,14,676000,704000,pa,,,,
,,,,,,,,15,361000,371000,cv,,,,,,,,,,,,,15,704000,715000,co,,,,
,,,,,,,,16,371000,396950,no,,,,,,,,,,,,,16,715000,720000,pa,,,,
,,,,,,,,17,396950,467568,cv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,467568,476408,no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,476408,640000,cv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20,640000,697000,no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,697000,700570,cv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,700570,707000,no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,707000,717000,dp,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,717000,720000,no,,,,,,,,,,,,,,,,,,,,